Node,Centrality,Latitude,Longitude
UNION PLACE,0.0003687315634218,40.6277638,-74.0772802
VAN DUZER STREET,0.0003687315634218,40.6255943,-74.0844979
NORTHERN BOULEVARD,0.0025811209439528,40.7530794,-73.9062074
BRISTOL AVENUE,0.0007374631268436,40.6117798,-74.1095152
HASTINGS STREET,0.0007374631268436,40.5801303,-73.9448931
GARSON AVENUE,0.0003687315634218,40.6025486,-74.0684554
TIBER PLACE,0.0003687315634218,40.6049922,-74.1073053
DENOBLE LANE,0.0003687315634218,40.6040923,-74.1115235
CLINTON ST,0.0003687315634218,40.683576,-73.9975551
BALTIC ST,0.0003687315634218,40.6884386,-74.0011557
NECKAR AVE,0.0003687315634218,40.6087534,-74.0838422
WESER AVE,0.0003687315634218,40.6085947,-74.0828697
NARROWS RD SO,0.0003687315634218,40.606118,-74.0827437
STEUBEN ST,0.0007374631268436,40.6036351,-74.0770148
OLGA PL,0.0003687315634218,40.603789,-74.076663
SCHMIDTS LA,0.0003687315634218,40.6095729,-74.1145054
WESTWOOD AVE,0.0003687315634218,40.606217,-74.123862
LINCOLN ST,0.0007374631268436,40.6836451,-73.8074612
CROAK AVE,0.0003687315634218,40.60323,-74.11787
NAPLES ST,0.0003687315634218,40.6030834,-74.0911728
VENICE ST,0.0003687315634218,42.933199,-76.579518
TILLMAN ST,0.0003687315634218,40.6082186,-74.1126031
BEACH STREET,0.0003687315634218,40.7203849,-74.0060136
WRIGHT STREET,0.0003687315634218,40.627352,-74.078702
CYPRESS AVENUE,0.0018436578171091,40.8051423,-73.9135096
MARX STREET,0.0007374631268436,40.6131121,-74.1098148
SCHOLES ST,0.0003687315634218,40.7115715,-73.927158
STAGG ST,0.0003687315634218,40.7090059,-73.9486352
TOMPKINS AVENUE,0.0007374631268436,40.6044487,-74.0653278
DELMONICO PLACE,0.0007374631268436,40.698234,-73.9450667
BUTLER ST,0.0003687315634218,40.6804766,-73.9826681
DOUGLAS ST,0.0003687315634218,40.7038522,-73.7908959
DRIGGS AVENUE,0.0003687315634218,40.7200011,-73.9532534
NASSAU AVENUE,0.0003687315634218,40.724635,-73.951277
HALSEY ST,0.0007374631268436,40.6863449,-73.9165406
MACON AVE,0.0003687315634218,40.5574138,-74.1714344
GRAND STREET,0.0011061946902654,40.7132751,-73.9776678
POWERS STREET,0.0007374631268436,40.7128761,-73.9401312
NORTH 1 STREET,0.0003687315634218,44.2909374,-73.9848672
MACON ST,0.0003687315634218,40.6813636,-73.9471585
MARION ST,0.0003687315634218,40.6815675,-73.9127825
SUMPTER ST,0.0003687315634218,40.6808702,-73.9123361
HALSEY STREET,0.0007374631268436,40.6863449,-73.9165406
MACON STREET,0.0003687315634218,40.6813636,-73.9471585
GERRY STREET,0.0003687315634218,40.6998236,-73.9497937
BARTLETT STREET,0.0007374631268436,40.7001599,-73.9479156
AINSLIE STREET,0.0011061946902654,40.7126022,-73.9492335
DEVOE STREET,0.0003687315634218,40.7140275,-73.9418749
HANCOCK ST,0.0011061946902654,40.682004,-73.954623
IRVING AVENUE,0.0011061946902654,40.6942856,-73.9060907
WYCKOFF AVENUE,0.0014749262536873,40.6965433,-73.905752
FRANKLIN STREET,0.0003687315634218,40.7191802,-74.0069278
MANHATTAN AVENUE,0.0007374631268436,40.7214035,-73.9490041
ST JOHN'S PL,0.0007374631268436,40.729934,-73.9900686
LINCOLN PL,0.0007374631268436,40.6715245,-73.9575681
BERGEN ST,0.0003687315634218,40.6808135,-73.9750886
ST MARCUS AVE,0.0003687315634218,40.7508915,-73.6729511
CLASSON AVE,0.0011061946902654,40.688873,-73.96007
FRANKLIN AVE,0.0007374631268436,40.6706813,-73.9579734
TOMPKINS AVE,0.0007374631268436,40.6044487,-74.0653278
THROOP AVE,0.0007374631268436,40.7004288,-73.9443862
DOUGLASS,0.0003687315634218,40.8076939,-73.9529798
DEGRAW ST,0.0003687315634218,40.6786277,-73.9820206
HOYT ST,0.0003687315634218,40.6905128,-73.9849862
BOND ST,0.0003687315634218,40.7265917,-73.9940313
7 AVE,0.0003687315634218,40.7367035,-74.0010309
8 AVE,0.0003687315634218,40.7367366,-73.8648135905765
GATES AVE,0.0007374631268436,40.6895761,-73.9222019
FULTON ST,0.0003687315634218,40.7101857,-74.0076638
CLAVER PL,0.0003687315634218,40.682421,-73.957534
RECTOR STREET,0.0007374631268436,40.70722,-74.013342
JEWETT AVENUE,0.0003687315634218,40.6234722,-74.1320767
JEFFERSON AV,0.0003687315634218,40.5835955,-74.1033494
DEAN STREET,0.0011061946902654,40.675969,-73.933226
